ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Directors,Runtime,Rotten_Tomatoes_Rounded,IMDB_Rounded,AgeRestriction,Genres_Fantasy,Genres_Sci-Fi,Genres_Mystery,Genres_Family,Genres_Adventure,Genres_Crime,Genres_Horror,Genres_Romance,Genres_Documentary,Genres_Action,Genres_Thriller,Genres_Comedy,Genres_Drama,Genres_Others,Continent_Africa,Continent_Antarctica,Continent_Asia,Continent_Europe,Continent_North America,Continent_Oceania,Continent_South America,Continent_NA,Language_NA,Language_Hindi,Language_French,Language_Spanish,Language_English,Language_Others,Era
6408,Theri,2016,NA,7.1,NA,0,0,1,0,0,Atlee Kumar,157.0,NA,Good,NA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Latest
6409,These Girls,2005,18+,5.5,73%,0,0,1,0,0,John Hazlett,92.0,Good,Average,Adult,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Modern
6410,J.D.'s Revenge,1976,18+,6.0,60%,0,0,1,0,0,Arthur Marks,96.0,Average,Average,Adult,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Golden
6411,Chhoti Si Baat,1976,NA,8.3,NA,0,0,1,0,0,Basu Chatterjee,123.0,NA,Really_Good,NA,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Golden
6412,Kabhi Kabhie,1976,7+,7.5,NA,0,0,1,0,0,Syed Wazir Ali,178.0,NA,Good,Non-Adult,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Golden
6413,The Bridge at Remagen,1969,18+,6.7,NA,0,0,1,0,0,John Guillermin,115.0,NA,Good,Adult,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,Vintage
6414,For My Father,2008,NA,7.3,40%,0,0,1,0,0,Dror Zahavi,100.0,,Good,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,Modern
6415,Teenage,2013,NA,6.6,77%,0,0,1,0,0,Matt Wolf,78.0,Good,Good,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Latest
6416,Off the Black,2006,18+,6.6,65%,0,0,1,0,0,James Ponsoldt,90.0,Average,Good,Adult,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Modern
6417,Along for the Ride,2017,NA,6.7,70%,0,0,1,0,0,John Kaye,99.0,,Good,NA,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Latest
6418,Tuff Turf,1985,18+,6.2,17%,0,0,1,0,0,Fritz Kiersch,112.0,Really_Bad,Average,Adult,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Golden
6419,The English Teacher,2013,18+,5.8,41%,0,0,1,0,0,Craig Zisk,93.0,Bad,Average,Adult,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
6420,The Lost Arcade,2015,NA,6.6,67%,0,0,1,0,0,Kurt Vincent,79.0,Average,Good,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
6421,Low Down,2014,18+,6.1,50%,0,0,1,0,0,Jeff Preiss,114.0,Bad,Average,Adult,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
6422,Where the Trail Ends,2012,NA,7.7,NA,0,0,1,0,0,Jeremy Grant,88.0,NA,Good,NA,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,Latest
6423,The Salt of Life,2011,NA,6.3,84%,0,0,1,0,0,Gianni Di Gregorio,90.0,Good,Average,NA,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Latest
6424,Assault on Wall Street,2013,18+,6.0,25%,0,0,1,0,0,Uwe Boll,99.0,Really_Bad,Average,Adult,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
6425,7 Days in Syria,2015,NA,8.9,NA,0,0,1,0,0,Robert Rippberger,75.0,NA,Really_Good,NA,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,Latest
6426,The Emperor Jones,1933,NA,6.4,71%,0,0,1,0,0,"Dudley Murphy,William C. de Mille",72.0,Good,Average,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Old
6427,Here and There,2009,NA,6.3,67%,0,0,1,0,0,Michael Winterbottom,106.0,Average,Average,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Modern
6428,The One-Armed Swordsman,1967,18+,7.4,NA,0,0,1,0,0,Cheh Chang,115.0,NA,Good,Adult,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,Vintage
6429,Motorama,1991,18+,6.4,60%,0,0,1,0,0,Barry Shils,90.0,Average,Average,Adult,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Modern
6430,The Royal Tailor,2014,NA,7.0,NA,0,0,1,0,0,Wonsuk Lee,127.0,NA,Good,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Latest
