ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Directors,Runtime,Rotten_Tomatoes_Rounded,IMDB_Rounded,AgeRestriction,Genres_Fantasy,Genres_Sci-Fi,Genres_Mystery,Genres_Family,Genres_Adventure,Genres_Crime,Genres_Horror,Genres_Romance,Genres_Documentary,Genres_Action,Genres_Thriller,Genres_Comedy,Genres_Drama,Genres_Others,Continent_Africa,Continent_Antarctica,Continent_Asia,Continent_Europe,Continent_North America,Continent_Oceania,Continent_South America,Continent_NA,Language_NA,Language_Hindi,Language_French,Language_Spanish,Language_English,Language_Others,Era
1,Inception,2010,13+,8.8,87%,1,0,0,0,0,Christopher Nolan,148.0,Really_Good,Really_Good,Teen,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,Modern
2,The Matrix,1999,18+,8.7,87%,1,0,0,0,0,"Lana Wachowski,Lilly Wachowski",136.0,Really_Good,Really_Good,Adult,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Modern
3,Avengers: Infinity War,2018,13+,8.5,84%,1,0,0,0,0,"Anthony Russo,Joe Russo",149.0,Good,Really_Good,Teen,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
4,Back to the Future,1985,7+,8.5,96%,1,0,0,0,0,Robert Zemeckis,116.0,Really_Good,Really_Good,Non-Adult,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Golden
5,"The Good, the Bad and the Ugly",1966,18+,8.8,97%,1,0,1,0,0,Sergio Leone,161.0,Really_Good,Really_Good,Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Vintage
6,Spider-Man: Into the Spider-Verse,2018,7+,8.4,97%,1,0,0,0,0,"Bob Persichetti,Peter Ramsey,Rodney Rothman",117.0,Really_Good,Really_Good,Non-Adult,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,Latest
7,The Pianist,2002,18+,8.5,95%,1,0,1,0,0,Roman Polanski,150.0,Really_Good,Really_Good,Adult,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,Modern
8,Django Unchained,2012,18+,8.4,87%,1,0,0,0,0,Quentin Tarantino,165.0,Really_Good,Really_Good,Adult,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,Latest
9,Raiders of the Lost Ark,1981,7+,8.4,95%,1,0,0,0,0,Steven Spielberg,115.0,Really_Good,Really_Good,Non-Adult,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,Golden
10,Inglourious Basterds,2009,18+,8.3,89%,1,0,0,0,0,Quentin Tarantino,153.0,Really_Good,Really_Good,Adult,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,Modern
11,Taxi Driver,1976,18+,8.3,95%,1,0,0,0,0,Martin Scorsese,114.0,Really_Good,Really_Good,Adult,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,Golden
12,3 Idiots,2009,13+,8.4,100%,1,0,1,0,0,Rajkumar Hirani,170.0,Really_Good,Really_Good,Teen,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,Modern
13,Pan's Labyrinth,2006,18+,8.2,95%,1,0,0,0,0,Guillermo del Toro,118.0,Really_Good,Really_Good,Adult,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,Modern
14,Room,2015,18+,8.1,93%,1,0,0,0,0,Lenny Abrahamson,118.0,Really_Good,Really_Good,Adult,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Latest
15,Monty Python and the Holy Grail,1975,7+,8.2,97%,1,0,0,0,0,"Terry Gilliam,Terry Jones",91.0,Really_Good,Really_Good,Non-Adult,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,Golden
16,Once Upon a Time in the West,1968,13+,8.5,95%,1,0,1,0,0,Sergio Leone,165.0,Really_Good,Really_Good,Teen,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,Vintage
17,Indiana Jones and the Last Crusade,1989,13+,8.2,88%,1,0,0,0,0,Steven Spielberg,127.0,Really_Good,Really_Good,Teen,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,Golden
18,Groundhog Day,1993,7+,8.0,96%,1,0,0,0,0,Harold Ramis,101.0,Really_Good,Really_Good,Non-Adult,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,Modern
19,The King's Speech,2010,18+,8.0,95%,1,0,0,0,0,Tom Hooper,118.0,Really_Good,Really_Good,Adult,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,Modern
20,Her,2013,18+,8.0,95%,1,0,0,0,0,Spike Jonze,126.0,Really_Good,Really_Good,Adult,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
21,There Will Be Blood,2007,18+,8.2,91%,1,0,0,0,0,Paul Thomas Anderson,158.0,Really_Good,Really_Good,Adult,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,Modern
22,The Social Network,2010,13+,7.7,96%,1,0,0,0,0,David Fincher,120.0,Really_Good,Good,Teen,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,Modern
23,Dallas Buyers Club,2013,18+,8.0,93%,1,0,0,0,0,Jean-Marc Vallée,117.0,Really_Good,Really_Good,Adult,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,Latest
24,The Perks of Being a Wallflower,2012,13+,8.0,86%,1,0,0,0,0,Stephen Chbosky,103.0,Really_Good,Really_Good,Teen,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
25,Life of Brian,1979,18+,8.1,95%,1,0,0,0,0,Terry Jones,94.0,Really_Good,Really_Good,Adult,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,Golden
26,Ex Machina,2015,18+,7.7,92%,1,0,0,0,0,Alex Garland,108.0,Really_Good,Good,Adult,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Latest
27,Silver Linings Playbook,2012,18+,7.7,92%,1,0,0,0,0,David O. Russell,122.0,Really_Good,Good,Adult,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
28,District 9,2009,18+,7.9,90%,1,0,0,0,0,Neill Blomkamp,112.0,Really_Good,Good,Adult,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,Modern
29,The Irishman,2019,18+,7.9,96%,1,0,0,0,0,Martin Scorsese,209.0,Really_Good,Good,Adult,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,Latest
30,Moon,2009,18+,7.9,90%,1,0,0,0,0,Duncan Jones,97.0,Really_Good,Good,Adult,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,Modern
31,Marriage Story,2019,18+,8.0,95%,1,0,0,0,0,Noah Baumbach,137.0,Really_Good,Really_Good,Adult,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,Latest
32,Drive,2011,18+,7.8,92%,1,0,1,0,0,Nicolas Winding Refn,100.0,Really_Good,Good,Adult,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,Latest
33,Train to Busan,2016,NA,7.5,94%,1,0,1,0,0,Sang-ho Yeon,118.0,Really_Good,Good,NA,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Latest
34,Incredibles 2,2018,7+,7.6,94%,1,0,0,0,0,Brad Bird,118.0,Really_Good,Good,Non-Adult,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
35,Dangal,2016,7+,8.4,88%,1,0,0,0,0,Nitesh Tiwari,161.0,Really_Good,Really_Good,Non-Adult,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Latest
36,Klaus,2019,7+,8.2,94%,1,0,0,0,0,"Sergio Pablos,Carlos Martínez López",96.0,Really_Good,Really_Good,Non-Adult,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,Latest
37,Minority Report,2002,13+,7.6,90%,1,0,0,0,0,Steven Spielberg,145.0,Really_Good,Good,Teen,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,Modern
38,Mystic River,2003,18+,7.9,88%,1,0,0,0,0,Clint Eastwood,138.0,Really_Good,Good,Adult,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,Modern
39,Like Stars on Earth,2007,7+,8.4,91%,1,0,0,0,0,"Aamir Khan,Amole Gupte",165.0,Really_Good,Really_Good,Non-Adult,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,Modern
40,Ferris Bueller's Day Off,1986,13+,7.8,80%,1,0,0,0,0,John Hughes,103.0,Good,Good,Teen,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,Golden
41,Despicable Me,2010,7+,7.6,81%,1,0,0,0,0,"Pierre Coffin,Chris Renaud",95.0,Good,Good,Non-Adult,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Modern
42,Hell or High Water,2016,18+,7.6,97%,1,0,0,0,0,David Mackenzie,102.0,Really_Good,Good,Adult,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
43,Sin City,2005,18+,8.0,77%,1,0,0,0,0,"Frank Miller,Robert Rodriguez,Quentin Tarantino",124.0,Good,Really_Good,Adult,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Modern
44,Ip Man,2008,18+,8.0,85%,1,0,0,0,0,Wilson Yip,106.0,Really_Good,Really_Good,Adult,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Modern
45,Indiana Jones and the Temple of Doom,1984,7+,7.6,85%,1,0,0,0,0,Steven Spielberg,118.0,Really_Good,Good,Non-Adult,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,Golden
46,The Theory of Everything,2014,13+,7.7,79%,1,0,0,0,0,James Marsh,123.0,Good,Good,Teen,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,Latest
47,The Pursuit of Happyness,2006,13+,8.0,67%,1,0,0,0,0,Gabriele Muccino,117.0,Average,Really_Good,Teen,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,Modern
48,Senna,2010,13+,8.5,93%,1,0,0,0,0,Asif Kapadia,106.0,Really_Good,Really_Good,Teen,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,Modern
49,Scott Pilgrim vs. the World,2010,13+,7.5,81%,1,0,0,0,0,Edgar Wright,112.0,Good,Good,Teen,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,Modern
50,Magnolia,1999,18+,8.0,83%,1,0,0,0,0,Paul Thomas Anderson,188.0,Good,Really_Good,Adult,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,Modern
51,The Hateful Eight,2015,18+,7.8,75%,1,0,0,0,0,Quentin Tarantino,168.0,Good,Good,Adult,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,Latest
52,The Artist,2011,13+,7.9,95%,1,0,0,0,0,Michel Hazanavicius,100.0,Really_Good,Good,Teen,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,Latest
53,Moonlight,2016,18+,7.4,98%,1,0,0,0,0,Barry Jenkins,111.0,Really_Good,Good,Adult,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
54,Back to the Future Part II,1989,7+,7.8,65%,1,0,0,0,0,Robert Zemeckis,108.0,Average,Good,Non-Adult,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Golden
55,Willy Wonka & the Chocolate Factory,1971,all,7.8,91%,1,0,0,0,0,Mel Stuart,100.0,Really_Good,Good,Non-Adult,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,Golden
56,What's Eating Gilbert Grape,1993,13+,7.8,90%,1,0,1,0,0,Lasse Hallström,118.0,Really_Good,Good,Teen,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Modern
57,The Curious Case of Benjamin Button,2008,13+,7.8,71%,1,0,0,0,0,David Fincher,166.0,Good,Good,Teen,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,Modern
58,A Silent Voice,2016,NA,8.2,94%,1,0,0,0,0,Naoko Yamada,130.0,Really_Good,Really_Good,NA,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Latest
59,Snowpiercer,2013,18+,7.1,94%,1,0,0,0,0,NA,60.0,Really_Good,Good,Adult,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
60,Hugo,2011,7+,7.5,93%,1,0,0,0,0,Martin Scorsese,126.0,Really_Good,Good,Non-Adult,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Latest
61,Ant-Man and the Wasp,2018,13+,7.1,88%,1,0,0,0,0,Peyton Reed,118.0,Really_Good,Good,Teen,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,Latest
62,As Good as It Gets,1997,13+,7.7,85%,1,0,0,0,0,James L. Brooks,139.0,Really_Good,Good,Teen,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Modern
63,Back to the Future Part III,1990,7+,7.4,80%,1,0,0,0,0,Robert Zemeckis,118.0,Good,Good,Non-Adult,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Golden
64,Searching for Sugar Man,2012,13+,8.2,95%,1,0,0,0,0,Malik Bendjelloul,86.0,Really_Good,Really_Good,Teen,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Latest
65,Road to Perdition,2002,18+,7.7,81%,1,0,0,0,0,Sam Mendes,117.0,Good,Good,Adult,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Modern
66,To All the Boys I've Loved Before,2020,13+,7.2,97%,1,0,0,0,0,Susan Johnson,99.0,Really_Good,Good,Teen,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
67,Molly's Game,2017,18+,7.4,82%,1,0,0,0,0,Aaron Sorkin,140.0,Good,Good,Adult,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,Latest
68,Blackfish,2013,13+,8.1,98%,1,1,0,0,0,Gabriela Cowperthwaite,83.0,Really_Good,Really_Good,Teen,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,Latest
69,El Camino: A Breaking Bad Movie,2019,18+,7.4,91%,1,0,0,0,0,Vince Gilligan,122.0,Really_Good,Good,Adult,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
70,The Invisible Guest,2016,18+,8.1,67%,1,0,0,0,0,Oriol Paulo,106.0,Average,Really_Good,Adult,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Latest
71,Song of the Sea,2014,7+,8.1,99%,1,0,0,0,0,Tomm Moore,93.0,Really_Good,Really_Good,Non-Adult,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,Latest
72,End of Watch,2012,18+,7.6,85%,1,0,0,0,0,David Ayer,109.0,Really_Good,Good,Adult,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,Latest
73,The Evil Dead,1981,18+,7.5,95%,1,0,0,0,0,Sam Raimi,85.0,Really_Good,Good,Adult,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Golden
74,About Time,2013,18+,7.8,68%,1,0,0,0,0,Richard Curtis,123.0,Average,Good,Adult,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Latest
75,Kung Fu Hustle,2004,18+,7.7,90%,1,0,0,0,0,Stephen Chow,99.0,Really_Good,Good,Adult,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,Modern
76,Blue Is the Warmest Color,2013,18+,7.7,89%,1,0,0,0,0,Abdellatif Kechiche,180.0,Really_Good,Good,Adult,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,Latest
77,Y Tu Mamá También,2001,18+,7.6,92%,1,0,0,0,0,Alfonso Cuarón,106.0,Really_Good,Good,Adult,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Modern
78,The Naked Gun: From the Files of Police Squad!,1988,13+,7.6,87%,1,0,0,0,0,David Zucker,85.0,Really_Good,Good,Teen,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Golden
79,Mud,2013,13+,7.4,97%,1,0,0,0,0,Jeff Nichols,130.0,Really_Good,Good,Teen,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
80,The Edge of Seventeen,2016,18+,7.3,94%,1,0,0,0,0,Kelly Fremon Craig,104.0,Really_Good,Good,Adult,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,Latest
81,Philadelphia,1993,13+,7.7,80%,1,0,0,0,0,NA,22.0,Good,Good,Teen,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Modern
82,Lagaan: Once Upon a Time in India,2001,7+,8.1,95%,1,0,0,0,0,Ashutosh Gowariker,224.0,Really_Good,Really_Good,Non-Adult,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,Modern
83,Tucker and Dale vs. Evil,2010,18+,7.5,85%,1,0,0,0,0,Eli Craig,89.0,Really_Good,Good,Adult,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,Modern
84,The Matrix Reloaded,2003,18+,7.2,73%,1,0,0,0,0,"Lana Wachowski,Lilly Wachowski",138.0,Good,Good,Adult,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,Modern
85,The Two Popes,2019,13+,7.6,89%,1,0,0,0,0,Fernando Meirelles,125.0,Really_Good,Good,Teen,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,Latest
86,The Last Samurai,2003,18+,7.7,66%,1,0,0,0,0,Edward Zwick,154.0,Average,Good,Adult,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,Modern
87,The Florida Project,2017,18+,7.6,96%,1,0,0,0,0,Sean Baker,111.0,Really_Good,Good,Adult,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,Latest
88,13th,2016,18+,8.2,96%,1,0,0,0,0,Ava DuVernay,100.0,Really_Good,Really_Good,Adult,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
89,Bahubali: The Beginning,2015,13+,8.1,88%,1,0,0,0,0,S.S. Rajamouli,159.0,Really_Good,Really_Good,Teen,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Latest
90,The Dawn Wall,2018,NA,8.1,100%,1,0,0,0,0,"Josh Lowell,Peter Mortimer",100.0,Really_Good,Really_Good,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Latest
91,Dolemite Is My Name,2019,18+,7.3,97%,1,0,0,0,0,Craig Brewer,118.0,Really_Good,Good,Adult,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
92,Tarzan,1999,all,7.3,89%,1,0,0,0,0,David Yates,110.0,Really_Good,Good,Non-Adult,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,Modern
93,The Platform,2019,18+,7.0,82%,1,0,0,0,0,Galder Gaztelu-Urrutia,94.0,Good,Good,Adult,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Latest
94,Okja,2017,13+,7.3,87%,1,0,0,0,0,Bong Joon Ho,120.0,Really_Good,Good,Teen,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,Latest
95,Roma,2018,18+,7.7,96%,1,0,0,0,0,NA,52.0,Really_Good,Good,Adult,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Latest
96,Saving Mr. Banks,2013,13+,7.5,79%,1,0,0,1,0,John Lee Hancock,125.0,Good,Good,Teen,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,Latest
97,Icarus,2017,18+,7.9,93%,1,0,0,0,0,Bryan Fogel,120.0,Really_Good,Good,Adult,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,Latest
98,Jiro Dreams of Sushi,2011,7+,7.9,99%,1,1,0,0,0,David Gelb,81.0,Really_Good,Good,Non-Adult,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Latest
99,Corpse Bride,2005,7+,7.3,84%,1,0,0,0,0,"Tim Burton,Mike Johnson",77.0,Good,Good,Non-Adult,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Modern
100,Jerry Maguire,1996,18+,7.3,83%,1,0,0,0,0,Cameron Crowe,139.0,Good,Good,Adult,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,Modern
101,The Death of Stalin,2017,18+,7.2,96%,1,0,0,0,0,Armando Iannucci,107.0,Really_Good,Good,Adult,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Latest
102,GoldenEye,1995,13+,7.2,78%,1,0,0,0,0,Martin Campbell,130.0,Good,Good,Teen,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,Modern
103,The Boy in the Striped Pyjamas,2008,13+,7.8,63%,1,0,0,0,0,Mark Herman,94.0,Average,Good,Teen,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,Modern
104,Amy,2015,18+,7.8,95%,1,0,1,1,0,NA,60.0,Really_Good,Good,Adult,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
105,Ralph Breaks the Internet,2018,7+,7.1,88%,1,0,0,0,0,"Phil Johnston,Rich Moore",112.0,Really_Good,Good,Non-Adult,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
106,Good Time,2017,18+,7.4,92%,1,0,0,0,0,"Benny Safdie,Josh Safdie",102.0,Really_Good,Good,Adult,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
107,Ip Man 2,2010,18+,7.5,96%,1,0,0,0,0,Wilson Yip,108.0,Really_Good,Good,Adult,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,Modern
108,The Little Prince,2015,7+,7.7,93%,1,0,0,0,0,Mark Osborne,108.0,Really_Good,Good,Non-Adult,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Latest
109,The Spectacular Now,2013,18+,7.1,91%,1,0,0,0,0,James Ponsoldt,95.0,Really_Good,Good,Adult,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
110,Baahubali 2: The Conclusion,2017,7+,8.2,89%,1,0,0,0,0,S.S. Rajamouli,167.0,Really_Good,Really_Good,Non-Adult,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Latest
111,Black Mirror: Bandersnatch,2018,NA,7.2,92%,1,0,0,0,0,David Slade,90.0,Really_Good,Good,NA,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Latest
112,PK,2014,13+,8.1,76%,1,0,0,0,0,Rajkumar Hirani,153.0,Good,Really_Good,Teen,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,Latest
